3830,Social Democrata,Davi Alcolumbre,Senador,DEM,AP,2015 - 2023,davi.alcolumbre@senador.leg.br
40,Social Democrata,José Agripino,Senador,DEM,RN,2011 - 2019,jose.agripino@senador.leg.br
5635,Social Democrata,Ricardo Franco,Senador,DEM,SE,2015 - 2023,ricardo.franco@senador.leg.br
456,Social Democrata,Ronaldo Caiado,Senador,DEM,GO,2015 - 2023,ronaldo.caiado@senador.leg.br
558,Parlamentar Socialismo e Democracia,Vanessa Grazziotin,Senadora,PCdoB,AM,2011 - 2019,vanessa.grazziotin@senadora.leg.br
4981,Apoio ao Governo,Acir Gurgacz,Senador,PDT,RO,2015 - 2023,acir@senador.leg.br
5533,Apoio ao Governo,Lasier Martins,Senador,PDT,RS,2015 - 2023,lasier.martins@senador.leg.br
5535,Apoio ao Governo,Telmário Mota,Senador,PDT,RR,2015 - 2023,telmariomota@senador.leg.br
5537,Sem bloco,Dário Berger,Senador,PMDB,SC,2015 - 2023,dario.berger@senador.leg.br
16,Sem bloco,Edison Lobão,Senador,PMDB,MA,2011 - 2019,edison.lobao@senador.leg.br
4994,Sem bloco,Eduardo Braga,Senador,PMDB,AM,2011 - 2019,eduardo.braga@senador.leg.br
612,Sem bloco,Eunício Oliveira,Senador,PMDB,CE,2011 - 2019,eunicio.oliveira@senador.leg.br
87,Sem bloco,Garibaldi Alves Filho,Senador,PMDB,RN,2011 - 2019,garibaldi.alves@senador.leg.br
5100,Sem bloco,Hélio José,Senador,PMDB,DF,2011 - 2019,heliojose@senador.leg.br
35,Sem bloco,Jader Barbalho,Senador,PMDB,PA,2011 - 2019,jader.barbalho@senador.leg.br
950,Sem bloco,João Alberto Souza,Senador,PMDB,MA,2011 - 2019,joao.alberto.souza@senador.leg.br
3361,Sem bloco,José Maranhão,Senador,PMDB,PB,2015 - 2023,jose.maranhao@senador.leg.br
1249,Sem bloco,Kátia Abreu,Senadora,PMDB,TO,2015 - 2023,katia.abreu@senadora.leg.br
5000,Sem bloco,Marta Suplicy,Senadora,PMDB,SP,2011 - 2019,marta.suplicy@senadora.leg.br
2207,Sem bloco,Raimundo Lira,Senador,PMDB,PB,2011 - 2019,raimundo.lira@senador.leg.br
70,Sem bloco,Renan Calheiros,Senador,PMDB,AL,2011 - 2019,renan.calheiros@senador.leg.br
72,Sem bloco,Roberto Requião,Senador,PMDB,PR,2011 - 2019,roberto.requiao@senador.leg.br
73,Sem bloco,Romero Jucá,Senador,PMDB,RR,2011 - 2019,romero.juca@senador.leg.br
2331,Sem bloco,Rose de Freitas,Senadora,PMDB,ES,2015 - 2023,rose.freitas@senadora.leg.br
5527,Sem bloco,Simone Tebet,Senadora,PMDB,MS,2015 - 2023,simone.tebet@senadora.leg.br
3372,Sem bloco,Valdir Raupp,Senador,PMDB,RO,2011 - 2019,valdir.raupp@senador.leg.br
1176,Sem bloco,Waldemir Moka,Senador,PMDB,MS,2011 - 2019,waldemir.moka@senador.leg.br
4988,Parlamentar Democracia Progressista,Ana Amélia,Senadora,PP,RS,2011 - 2019,ana.amelia@senadora.leg.br
3823,Parlamentar Democracia Progressista,Benedito de Lira,Senador,PP,AL,2011 - 2019,benedito.lira@senador.leg.br
739,Parlamentar Democracia Progressista,Ciro Nogueira,Senador,PP,PI,2011 - 2019,ciro.nogueira@senador.leg.br
4558,Parlamentar Democracia Progressista,Gladson Cameli,Senador,PP,AC,2015 - 2023,gladson.cameli@senador.leg.br
5004,Parlamentar Democracia Progressista,Ivo Cassol,Senador,PP,RO,2011 - 2019,ivo.cassol@senador.leg.br
5052,Parlamentar Democracia Progressista,Roberto Muniz,Senador,PP,BA,2011 - 2019,
5070,Parlamentar Democracia Progressista,Wilder Morais,Senador,PP,GO,2011 - 2019,wilder.morais@senador.leg.br
3398,Parlamentar Socialismo e Democracia,Cristovam Buarque,Senador,PPS,DF,2011 - 2019,cristovam.buarque@senador.leg.br
5108,Moderador,Cidinho Santos,Senador,PR,MT,2011 - 2019,cidinho.santos@senador.leg.br
631,Moderador,Magno Malta,Senador,PR,ES,2011 - 2019,magno.malta@senador.leg.br
4763,Moderador,Vicentinho Alves,Senador,PR,TO,2011 - 2019,vicentinho.alves@senador.leg.br
1173,Moderador,Wellington Fagundes,Senador,PR,MT,2015 - 2023,wellington.fagundes@senador.leg.br
4767,Moderador,Eduardo Lopes,Senador,PRB,RJ,2011 - 2019,eduardo.lopes@senador.leg.br
3,Parlamentar Socialismo e Democracia,Antonio Carlos Valadares,Senador,PSB,SE,2011 - 2019,antoniocarlosvaladares@senador.leg.br
5540,Parlamentar Socialismo e Democracia,Fernando Bezerra Coelho,Senador,PSB,PE,2015 - 2023,fernandobezerracoelho@senador.leg.br
3394,Parlamentar Socialismo e Democracia,João Capiberibe,Senador,PSB,AP,2011 - 2019,joao.capiberibe@senador.leg.br
4575,Parlamentar Socialismo e Democracia,Lídice da Mata,Senadora,PSB,BA,2011 - 2019,lidice.mata@senadora.leg.br
643,Parlamentar Socialismo e Democracia,Lúcia Vânia,Senadora,PSB,GO,2011 - 2019,lucia.vania@senadora.leg.br
677,Parlamentar Socialismo e Democracia,Roberto Rocha,Senador,PSB,MA,2015 - 2023,robertorocha@senador.leg.br
5322,Parlamentar Socialismo e Democracia,Romário,Senador,PSB,RJ,2015 - 2023,romario@senador.leg.br
4721,Moderador,Eduardo Amorim,Senador,PSC,SE,2011 - 2019,eduardo.amorim@senador.leg.br
5116,Moderador,Pedro Chaves,Senador,PSC,MS,2011 - 2019,
5112,Parlamentar Democracia Progressista,José Medeiros,Senador,PSD,MT,2011 - 2019,josemedeiros@senador.leg.br
5525,Parlamentar Democracia Progressista,Omar Aziz,Senador,PSD,AM,2015 - 2023,omar.aziz@senador.leg.br
5523,Parlamentar Democracia Progressista,Otto Alencar,Senador,PSD,BA,2015 - 2023,otto.alencar@senador.leg.br
4560,Parlamentar Democracia Progressista,Sérgio Petecão,Senador,PSD,AC,2011 - 2019,sergio.petecao@senador.leg.br
391,Social Democrata,Aécio Neves,Senador,PSDB,MG,2011 - 2019,aecio.neves@senador.leg.br
846,Social Democrata,Aloysio Nunes Ferreira,Senador,PSDB,SP,2011 - 2019,aloysionunes.ferreira@senador.leg.br
5529,Social Democrata,Antonio Anastasia,Senador,PSDB,MG,2015 - 2023,antonio.anastasia@senador.leg.br
5164,Social Democrata,Ataídes Oliveira,Senador,PSDB,TO,2011 - 2019,ataides.oliveira@senador.leg.br
5197,Social Democrata,Cássio Cunha Lima,Senador,PSDB,PB,2011 - 2019,cassio.cunha.lima@senador.leg.br
5132,Social Democrata,Dalirio Beber,Senador,PSDB,SC,2011 - 2019,dalirio.beber@senador.leg.br
3634,Social Democrata,Flexa Ribeiro,Senador,PSDB,PA,2011 - 2019,flexa.ribeiro@senador.leg.br
878,Social Democrata,José Aníbal,Senador,PSDB,SP,2015 - 2023,
3741,Social Democrata,Paulo Bauer,Senador,PSDB,SC,2011 - 2019,paulo.bauer@senador.leg.br
635,Social Democrata,Ricardo Ferraço,Senador,PSDB,ES,2011 - 2019,ricardo.ferraco@senador.leg.br
